SKU,MRP,SELLING PRICE,TRANSFER PRICE,TYPE,NAME,DESCRIPTION,KEYFEATURE,HSN,MAIN IMAGE URL,URL1,URL2,URL3,URL4,URL5,GROUP ID,DISCOUNT %,Rate Without Tax,New Selling Price,Total Discount,Disc%,Color,Size
D1953_M,1899,649,399,SINGLE KURTI,Rayon embroidered A-line kurta for women and girls.,"""Aadhara""  we presents a heavy embroidered rayon A-line kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/ex05a16jda477vt/AKT35606.JPG?dl=0,https://www.dropbox.com/s/ibyoe41ot69apen/AKT35605.JPG?dl=0,https://www.dropbox.com/s/1ypqrjzql52lp52/AKT35607.JPG?dl=0,https://www.dropbox.com/s/hwkixdh934guduw/AKT35611.JPG?dl=0,https://www.dropbox.com/s/j75dsan593dbwrw/AKT35608.JPG?dl=0,https://www.dropbox.com/s/edk9iwsltaaymbj/AKT35610.JPG?dl=0,D1953,5%,1695.535714,618.0952381,1077.440476,63.54572582,Pink,M
D1953_L,1899,649,399,SINGLE KURTI,Rayon embroidered A-line kurta for women and girls.,"""Aadhara""  we presents a heavy embroidered rayon A-line kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/ex05a16jda477vt/AKT35606.JPG?dl=0,https://www.dropbox.com/s/ibyoe41ot69apen/AKT35605.JPG?dl=0,https://www.dropbox.com/s/1ypqrjzql52lp52/AKT35607.JPG?dl=0,https://www.dropbox.com/s/hwkixdh934guduw/AKT35611.JPG?dl=0,https://www.dropbox.com/s/j75dsan593dbwrw/AKT35608.JPG?dl=0,https://www.dropbox.com/s/edk9iwsltaaymbj/AKT35610.JPG?dl=0,D1953,5%,1695.535714,618.0952381,1077.440476,63.54572582,Pink,L
D1953_XL,1899,649,399,SINGLE KURTI,Rayon embroidered A-line kurta for women and girls.,"""Aadhara""  we presents a heavy embroidered rayon A-line kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/ex05a16jda477vt/AKT35606.JPG?dl=0,https://www.dropbox.com/s/ibyoe41ot69apen/AKT35605.JPG?dl=0,https://www.dropbox.com/s/1ypqrjzql52lp52/AKT35607.JPG?dl=0,https://www.dropbox.com/s/hwkixdh934guduw/AKT35611.JPG?dl=0,https://www.dropbox.com/s/j75dsan593dbwrw/AKT35608.JPG?dl=0,https://www.dropbox.com/s/edk9iwsltaaymbj/AKT35610.JPG?dl=0,D1953,5%,1695.535714,618.0952381,1077.440476,63.54572582,Pink,XL
D1953_XXL,1899,649,399,SINGLE KURTI,Rayon embroidered A-line kurta for women and girls.,"""Aadhara""  we presents a heavy embroidered rayon A-line kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/ex05a16jda477vt/AKT35606.JPG?dl=0,https://www.dropbox.com/s/ibyoe41ot69apen/AKT35605.JPG?dl=0,https://www.dropbox.com/s/1ypqrjzql52lp52/AKT35607.JPG?dl=0,https://www.dropbox.com/s/hwkixdh934guduw/AKT35611.JPG?dl=0,https://www.dropbox.com/s/j75dsan593dbwrw/AKT35608.JPG?dl=0,https://www.dropbox.com/s/edk9iwsltaaymbj/AKT35610.JPG?dl=0,D1953,5%,1695.535714,618.0952381,1077.440476,63.54572582,Pink,XXL
D1971BLUE_M,2099,669,425,SINGLE KURTI,rayon embroidered straight kurti for women and girls.,"""Aadhara"" we presents a heavy embroidered rayon straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/vp487m1g0uymbcc/AKT35759.JPG?dl=0,https://www.dropbox.com/s/6uogpcrqjz81olr/AKT35757.JPG?dl=0,https://www.dropbox.com/s/p8l4nfwgdqrl2tb/AKT35761.JPG?dl=0,https://www.dropbox.com/s/7o7cgj6hg49s1k0/AKT35760.JPG?dl=0,,,D1971,5%,1874.107143,637.1428571,1236.964286,66.0028585,Blue,M
D1971BLUE_L,2099,669,425,SINGLE KURTI,rayon embroidered straight kurti for women and girls.,"""Aadhara"" we presents a heavy embroidered rayon straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/vp487m1g0uymbcc/AKT35759.JPG?dl=0,https://www.dropbox.com/s/6uogpcrqjz81olr/AKT35757.JPG?dl=0,https://www.dropbox.com/s/p8l4nfwgdqrl2tb/AKT35761.JPG?dl=0,https://www.dropbox.com/s/7o7cgj6hg49s1k0/AKT35760.JPG?dl=0,,,D1971,5%,1874.107143,637.1428571,1236.964286,66.0028585,Blue,L
D1971BLUE_XL,2099,669,425,SINGLE KURTI,rayon embroidered straight kurti for women and girls.,"""Aadhara"" we presents a heavy embroidered rayon straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/vp487m1g0uymbcc/AKT35759.JPG?dl=0,https://www.dropbox.com/s/6uogpcrqjz81olr/AKT35757.JPG?dl=0,https://www.dropbox.com/s/p8l4nfwgdqrl2tb/AKT35761.JPG?dl=0,https://www.dropbox.com/s/7o7cgj6hg49s1k0/AKT35760.JPG?dl=0,,,D1971,5%,1874.107143,637.1428571,1236.964286,66.0028585,Blue,XL
D1971BLUE_XXL,2099,669,425,SINGLE KURTI,rayon embroidered straight kurti for women and girls.,"""Aadhara"" we presents a heavy embroidered rayon straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/vp487m1g0uymbcc/AKT35759.JPG?dl=0,https://www.dropbox.com/s/6uogpcrqjz81olr/AKT35757.JPG?dl=0,https://www.dropbox.com/s/p8l4nfwgdqrl2tb/AKT35761.JPG?dl=0,https://www.dropbox.com/s/7o7cgj6hg49s1k0/AKT35760.JPG?dl=0,,,D1971,5%,1874.107143,637.1428571,1236.964286,66.0028585,Blue,XXL
D1971PINK_M,2099,669,425,SINGLE KURTI,rayon embroidered straight kurti for women and girls.,"""Aadhara"" we presents a heavy embroidered rayon straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/bdib3gb6i6hedga/AKT35766.JPG?dl=0,https://www.dropbox.com/s/ce062m1q7zk83ck/AKT35765.JPG?dl=0,https://www.dropbox.com/s/bhs15vozeekxh2z/AKT35767.JPG?dl=0,https://www.dropbox.com/s/5ou9us9mysyqxrj/AKT35770.JPG?dl=0,https://www.dropbox.com/s/45fyd1figlti7l1/AKT35769.JPG?dl=0,,D1971,5%,1874.107143,637.1428571,1236.964286,66.0028585,Pink,M
D1971PINK_L,2099,669,425,SINGLE KURTI,rayon embroidered straight kurti for women and girls.,"""Aadhara"" we presents a heavy embroidered rayon straight kurta, sleeves length 3/4th. Our main motive is quality that is important for our customer satisfaction.",Outfit is beautiful after wear and comfort in every season,6204,https://www.dropbox.com/s/bdib3gb6i6hedga/AKT35766.JPG?dl=0,https://www.dropbox.com/s/ce062m1q7zk83ck/AKT35765.JPG?dl=0,https://www.dropbox.com/s/bhs15vozeekxh2z/AKT35767.JPG?dl=0,https://www.dropbox.com/s/5ou9us9mysyqxrj/AKT35770.JPG?dl=0,https://www.dropbox.com/s/45fyd1figlti7l1/AKT35769.JPG?dl=0,,D1971,5%,1874.107143,637.1428571,1236.964286,66.0028585,Pink,L
